"BehaviorSpace results (NetLogo 6.0.3)"
"challenge.nlogo"
"cartel"
"05/21/2018 11:32:54:317 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","max-payoff-high","n-ticks","can-borrow","p-start-low","p-experiencers","n-history","g-random-jump","tau-weight","n-investors","n-cartel","p-start-high","n-memory","p-payoff-low","sigma-mutation","p-payoff-high","randomize-step","tau","n-predictors","epsilon","max-payoff-low","epsilon-steady","n-coefficients","[step]","outgoings POOL-HIGH"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","15","1.4052438789280894"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","15","2.183068783068783"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","15","1.362962962962963"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","14","1.7210884353741496"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","16","1.3174161364950838"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","16","1.2777777777777777"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","16","2.193685807656396"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","17","1.2399210696424319"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","15","1.6063492063492064"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","17","1.2026143790849673"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","17","2.203053770527819"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","18","1.1710365657734079"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","16","1.505952380952381"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","18","1.1358024691358024"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","18","2.0806618943873847"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","19","1.3901048166976144"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","17","1.4173669467787116"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","19","1.0760233918128654"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","20","1.3205995758627336"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","19","2.171654626762986"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","18","1.3386243386243386"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","20","1.3555555555555556"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","20","2.063071895424837"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","21","1.257713881774032"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","21","1.291005291005291"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","22","1.4025652709863237"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","21","2.057745591461517"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","19","1.268170426065163"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","22","1.2323232323232323"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","22","1.9642117009405389"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","20","1.2047619047619047"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","23","1.341584172247788"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","23","1.361810322908721"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","23","1.8788111922039936"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","21","1.1473922902494331"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","24","1.4817632631100122"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","24","1.4717348927875245"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","24","1.8005273925288272"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","25","1.4224927325856118"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","22","1.297258297258297"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","25","1.4128654970760235"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","25","1.728506296827674"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","26","1.3677814736400113"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","23","1.4239221241509572"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","26","1.5050446629393999"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","26","1.6620252854112252"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","27","1.4817319540401754"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","27","1.4493022680157184"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","24","1.4656021366547682"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","27","1.6004687933589576"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","28","1.3975414727294428"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","28","1.4288129556815978"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","25","1.4069780511885777"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","28","1.7630894133763577"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","29","1.3493503874629103"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","29","1.5328002483975582"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","26","1.3528635107582476"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","29","1.7022932267082074"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","30","1.3043720412141466"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","30","1.4817069067843063"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","27","1.3027574548042384"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","30","1.7288834524846002"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","31","1.2622955237556257"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","31","1.433909909791264"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","28","1.2562304028469442"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","32","1.2228487886382624"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","31","1.6731130185334842"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","32","1.514100225110287"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","29","1.2129121130936014"
