step,who,wealth,payoffs,choices,strategy,tau
6,72,55.03922695812104,0.8602150537634409,0,1,0
7,72,55.03922695812104,0,1,1,0
8,72,55.03922695812104,0,0,1,0
9,72,55.03922695812104,0.8602150537634409,0,1,0
10,72,55.03922695812104,0,2,1,0
11,72,55.03922695812104,0,0,1,0
12,72,55.03922695812104,0,0,1,0
13,72,55.03922695812104,0.8695652173913043,0,1,0
14,72,55.03922695812104,0,0,1,0
15,72,55.03922695812104,0,0,1,0
16,72,55.03922695812104,0,0,1,0
17,72,55.03922695812104,0,0,1,0
18,72,55.03922695812104,0.9302325581395349,0,1,0
19,72,55.03922695812104,0,0,1,0
20,72,55.03922695812104,0,0,1,0
21,72,55.03922695812104,0.8602150537634409,0,1,0
22,72,55.03922695812104,0.8695652173913043,0,1,0
23,72,55.03922695812104,0,0,1,0
24,72,55.03922695812104,0.898876404494382,0,1,0
25,72,55.03922695812104,0.8602150537634409,0,1,0
26,72,55.03922695812104,0.9090909090909091,0,1,0
27,72,55.03922695812104,0,0,1,0
28,72,55.03922695812104,0,0,1,0
29,72,55.03922695812104,0,0,1,0
30,72,55.03922695812104,0.8695652173913043,0,1,0
31,72,55.03922695812104,0.8695652173913043,0,1,0
32,72,55.03922695812104,0.9090909090909091,0,1,0
33,72,55.03922695812104,0.8791208791208791,0,1,0
34,72,55.03922695812104,0.8695652173913043,0,1,0
35,72,55.03922695812104,0,0,1,0
36,72,55.03922695812104,0,0,1,0
37,72,55.03922695812104,0.8888888888888888,0,1,0
38,72,55.03922695812104,0,0,1,0
39,72,55.03922695812104,0,0,1,0
40,72,55.03922695812104,0,0,1,0
41,72,55.03922695812104,0,0,1,0
42,72,55.03922695812104,0,0,1,0
43,72,55.03922695812104,0,1,1,0
44,72,55.03922695812104,0,0,1,0
45,72,55.03922695812104,0,0,1,0
46,72,55.03922695812104,0,0,1,0
47,72,55.03922695812104,0,2,1,0
48,72,55.03922695812104,0,0,1,0
49,72,55.03922695812104,0,0,1,0
50,72,55.03922695812104,0,0,1,0
51,72,55.03922695812104,0.8791208791208791,0,1,0
52,72,55.03922695812104,0,0,1,0
